key,board,summary,description,acceptance_criteria,status,assignee,reporter,priority,issue_type,created,closed,labels,components,sprint,sprint_state,sprint_start_date,sprint_end_date,story_points,epic_id,employee_type,requested_by,fix_versions
TES-1-18,TES1,TASK 176 for TES1,Description for Task 176 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-1-18,Done,Sai,Ishan,Low,Story,2025-03-21,2025-03-17,[],['UI'],Sprint 6,Completed,2025-03-12,2025-03-25,1,TES-1,FTE,CTB,TES1-8783
APS-2-23,APS1,TASK 177 for APS1,Description for Task 177 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-23,Done,Nitish,Madhu,High,Story,2025-03-29,2025-01-21,['bugfix'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,5,APS-2,FTE,RTB,APS1-8785
APS-1-18,APS1,TASK 178 for APS1,Description for Task 178 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-18,Done,Khaleel,Madhu,Critical,Story,2025-04-10,2025-02-05,['backend'],['UI'],Sprint 3,Completed,2025-01-28,2025-02-10,3,APS-1,FTC,CTB,APS1-8786
APS-1-19,APS1,TASK 179 for APS1,Description for Task 179 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-19,To Do,Khaleel,Shreya,Medium,Defect,2025-03-20,,['bugfix'],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,5,APS-1,FTC,CTB,APS1-8784
APS-3-12,APS2,TASK 180 for APS2,Description for Task 180 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-12,Done,Ashwin,Ravi,Medium,Story,2025-03-22,2025-04-01,['frontend'],[],Sprint 7,Completed,2025-03-26,2025-04-08,1,APS-3,FTC,RTB,APS2-8783
APS-3-13,APS2,TASK 181 for APS2,Description for Task 181 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-3-13,Done,Ashwin,Bhuvi,Medium,Task,2025-04-11,2025-03-27,['UI'],['API'],Sprint 7,Completed,2025-03-26,2025-04-08,2,APS-3,FTC,RTB,APS2-8783
TES-3-16,TES2,TASK 182 for TES2,Description for Task 182 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-16,Done,Rasheed,Pradeep,Medium,Defect,2025-04-09,2025-01-19,[],['API'],Sprint 2,Completed,2025-01-14,2025-01-27,3,TES-3,FTE,RTB,TES2-8785
TES-3-17,TES2,TASK 183 for TES2,Description for Task 183 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-17,Done,Seetha,Pradeep,Medium,Defect,2025-04-05,2025-01-06,['frontend'],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,5,TES-3,FTC,RTB,TES2-8783
DIS-1-4,CDF,TASK 184 for CDF,Description for Task 184 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-1-4,To Do,Rishika,Tony,Medium,Defect,2025-03-29,,['backend'],['Database'],Sprint 9,Future,2025-04-23,2025-05-06,2,DIS-1,FTE,RTB,CDF1-8785
DIS-1-5,CDF,TASK 185 for CDF,Description for Task 185 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-1-5,Done,Alice,Tony,Critical,Task,2025-03-17,2025-01-18,[],['Auth Service'],Sprint 2,Completed,2025-01-14,2025-01-27,5,DIS-1,FTC,RTB,CDF1-8783
TES-3-18,TES2,TASK 186 for TES2,Description for Task 186 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-18,To Do,Rasheed,Smrithi,Low,Task,2025-03-30,,['enhancement'],['API'],Sprint 9,Future,2025-04-23,2025-05-06,2,TES-3,FTE,RTB,TES2-8784
DIS-6-8,EBSNF,TASK 187 for EBSNF,Description for Task 187 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-6-8,Done,Apoorva,Zoro,Low,Defect,2025-03-25,2025-02-07,['UI'],['Auth Service'],Sprint 3,Completed,2025-01-28,2025-02-10,3,DIS-6,FTE,CTB,EBSNF1-8784
DIS-7-13,EBSNF,TASK 188 for EBSNF,Description for Task 188 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-13,Done,Apoorva,Zoro,High,Task,2025-03-20,2025-02-11,['frontend'],['Payment Service'],Sprint 4,Completed,2025-02-11,2025-02-24,5,DIS-7,FTE,RTB,EBSNF1-8784
DIS-2-5,CDF,TASK 189 for CDF,Description for Task 189 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-2-5,Done,Apoorva,Naruto,Medium,Defect,2025-03-23,2025-03-08,['frontend'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,3,DIS-2,FTE,CTB,CDF1-8783
DIS-3-9,CDF,TASK 190 for CDF,Description for Task 190 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-3-9,To Do,Alice,Tony,Medium,Story,2025-03-17,,['enhancement'],['Auth Service'],Sprint 8,Active,2025-04-09,2025-04-22,3,DIS-3,FTC,RTB,CDF1-8786
DIS-3-10,CDF,TASK 191 for CDF,Description for Task 191 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-10,Done,Apoorva,Naruto,Medium,Defect,2025-04-10,2025-02-21,['bugfix'],[],Sprint 4,Completed,2025-02-11,2025-02-24,1,DIS-3,FTE,RTB,CDF1-8785
TES-2-21,TES1,TASK 192 for TES1,Description for Task 192 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-21,Done,Krithika,Ishan,Critical,Defect,2025-03-20,2025-03-14,[],['API'],Sprint 6,Completed,2025-03-12,2025-03-25,2,TES-2,FTE,RTB,TES1-8785
DIS-3-11,CDF,TASK 193 for CDF,Description for Task 193 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-3-11,Done,Alice,Tony,High,Story,2025-03-17,2025-01-03,[],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,1,DIS-3,FTC,RTB,CDF1-8784
APS-2-24,APS1,TASK 194 for APS1,Description for Task 194 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-24,Done,Nitish,Shreya,Critical,Story,2025-04-05,2025-03-09,['enhancement'],['API'],Sprint 5,Completed,2025-02-25,2025-03-11,3,APS-2,FTE,RTB,APS1-8785
DIS-7-14,EBSNF,TASK 195 for EBSNF,Description for Task 195 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-14,Done,Alok,Zoro,High,Task,2025-03-26,2025-01-25,[],[],Sprint 2,Completed,2025-01-14,2025-01-27,5,DIS-7,FTE,RTB,EBSNF1-8786
TES-4-8,TES2,TASK 196 for TES2,Description for Task 196 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-8,Done,Rasheed,Pradeep,High,Story,2025-03-21,2025-02-04,['enhancement'],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,1,TES-4,FTE,CTB,TES2-8783
TES-3-19,TES2,TASK 197 for TES2,Description for Task 197 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-19,To Do,Seetha,Smrithi,Low,Task,2025-04-01,,['backend'],['UI'],Sprint 9,Future,2025-04-23,2025-05-06,2,TES-3,FTC,RTB,TES2-8783
DIS-6-9,EBSNF,TASK 198 for EBSNF,Description for Task 198 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-6-9,Done,Peter,Zoro,Critical,Story,2025-04-02,2025-02-08,[],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,2,DIS-6,FTC,CTB,EBSNF1-8784
APS-1-20,APS1,TASK 199 for APS1,Description for Task 199 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-1-20,Done,Nitish,Shreya,Critical,Task,2025-04-05,2025-03-30,[],[],Sprint 7,Completed,2025-03-26,2025-04-08,3,APS-1,FTE,CTB,APS1-8785
APS-4-22,APS2,TASK 200 for APS2,Description for Task 200 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-22,To Do,Dube,Ravi,Medium,Defect,2025-04-10,,['bugfix'],['UI'],Sprint 9,Future,2025-04-23,2025-05-06,1,APS-4,FTE,CTB,APS2-8786
DIS-5-6,EBSNF,TASK 201 for EBSNF,Description for Task 201 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-5-6,Done,Pavithra,Zoro,Medium,Task,2025-03-18,2025-02-12,['bugfix'],['Auth Service'],Sprint 4,Completed,2025-02-11,2025-02-24,2,DIS-5,FTE,RTB,EBSNF1-8786
TES-4-9,TES2,TASK 202 for TES2,Description for Task 202 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-4-9,Done,Rasheed,Pradeep,Medium,Task,2025-04-05,2025-02-19,['frontend'],[],Sprint 4,Completed,2025-02-11,2025-02-24,3,TES-4,FTE,CTB,TES2-8786
DIS-2-6,CDF,TASK 203 for CDF,Description for Task 203 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-2-6,Done,Apoorva,Tony,Medium,Task,2025-03-19,2025-03-02,['backend'],['UI'],Sprint 5,Completed,2025-02-25,2025-03-11,5,DIS-2,FTE,CTB,CDF1-8784
APS-1-21,APS1,TASK 204 for APS1,Description for Task 204 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-21,Done,Noor,Shreya,High,Story,2025-04-05,2025-02-27,[],['API'],Sprint 5,Completed,2025-02-25,2025-03-11,5,APS-1,FTE,CTB,APS1-8784
TES-4-10,TES2,TASK 205 for TES2,Description for Task 205 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-4-10,Done,Rasheed,Smrithi,Medium,Defect,2025-03-26,2025-01-16,['UI'],['Auth Service'],Sprint 2,Completed,2025-01-14,2025-01-27,5,TES-4,FTE,CTB,TES2-8784
TES-2-22,TES1,TASK 206 for TES1,Description for Task 206 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-22,To Do,Sai,Shubman,High,Task,2025-03-25,,['backend'],['UI'],Sprint 10,Future,2025-05-07,2025-05-20,1,TES-2,FTE,RTB,TES1-8784
APS-4-23,APS2,TASK 207 for APS2,Description for Task 207 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-23,To Do,Ashwin,Bhuvi,Medium,Story,2025-03-17,,['backend'],[],Sprint 9,Future,2025-04-23,2025-05-06,5,APS-4,FTC,CTB,APS2-8783
DIS-3-12,CDF,TASK 208 for CDF,Description for Task 208 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-3-12,To Do,Hari,Naruto,Medium,Task,2025-04-01,,['UI'],['API'],Sprint 10,Future,2025-05-07,2025-05-20,1,DIS-3,FTE,RTB,CDF1-8786
TES-4-11,TES2,TASK 209 for TES2,Description for Task 209 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-11,Done,Rasheed,Smrithi,Low,Story,2025-04-08,2025-03-16,['enhancement'],['API'],Sprint 6,Completed,2025-03-12,2025-03-25,2,TES-4,FTE,CTB,TES2-8785
APS-3-14,APS2,TASK 210 for APS2,Description for Task 210 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-14,Done,Vikram,Ravi,Medium,Story,2025-03-19,2025-01-19,['bugfix'],[],Sprint 2,Completed,2025-01-14,2025-01-27,2,APS-3,FTC,RTB,APS2-8784
TES-2-23,TES1,TASK 211 for TES1,Description for Task 211 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-23,Done,Sai,Ishan,Medium,Task,2025-04-05,2025-02-27,['bugfix'],['API'],Sprint 5,Completed,2025-02-25,2025-03-11,2,TES-2,FTE,RTB,TES1-8784
DIS-5-7,EBSNF,TASK 212 for EBSNF,Description for Task 212 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-5-7,Done,Pavithra,Hinata,Medium,Task,2025-03-26,2025-02-15,['enhancement'],['Payment Service'],Sprint 4,Completed,2025-02-11,2025-02-24,3,DIS-5,FTE,RTB,EBSNF1-8783
TES-1-19,TES1,TASK 213 for TES1,Description for Task 213 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-19,To Do,David,Ishan,Low,Task,2025-03-23,,['enhancement'],[],Sprint 8,Active,2025-04-09,2025-04-22,5,TES-1,FTC,CTB,TES1-8784
TES-4-12,TES2,TASK 214 for TES2,Description for Task 214 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-4-12,Done,Rasheed,Smrithi,High,Defect,2025-03-31,2025-03-23,['UI'],['Database'],Sprint 6,Completed,2025-03-12,2025-03-25,5,TES-4,FTE,CTB,TES2-8784
DIS-5-8,EBSNF,TASK 215 for EBSNF,Description for Task 215 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-5-8,Done,Peter,Zoro,Low,Task,2025-03-24,2025-01-17,['frontend'],['Auth Service'],Sprint 2,Completed,2025-01-14,2025-01-27,1,DIS-5,FTC,RTB,EBSNF1-8784
DIS-5-9,EBSNF,TASK 216 for EBSNF,Description for Task 216 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-9,Done,Alok,Zoro,High,Defect,2025-04-07,2025-02-16,[],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,3,DIS-5,FTE,RTB,EBSNF1-8784
DIS-6-10,EBSNF,TASK 217 for EBSNF,Description for Task 217 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-6-10,Done,Peter,Hinata,Medium,Defect,2025-03-24,2025-02-20,['UI'],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,2,DIS-6,FTC,CTB,EBSNF1-8786
DIS-7-15,EBSNF,TASK 218 for EBSNF,Description for Task 218 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-7-15,To Do,Alok,Hinata,Critical,Story,2025-04-01,,['frontend'],['Auth Service'],Sprint 10,Future,2025-05-07,2025-05-20,3,DIS-7,FTE,RTB,EBSNF1-8783
DIS-1-6,CDF,TASK 219 for CDF,Description for Task 219 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-1-6,Done,Rishika,Tony,Low,Task,2025-03-20,2025-02-03,['enhancement'],['Auth Service'],Sprint 3,Completed,2025-01-28,2025-02-10,1,DIS-1,FTE,RTB,CDF1-8783
DIS-2-7,CDF,TASK 220 for CDF,Description for Task 220 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-7,Done,Hari,Naruto,Medium,Story,2025-04-05,2025-02-23,['enhancement'],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,5,DIS-2,FTE,CTB,CDF1-8784
TES-2-24,TES1,TASK 221 for TES1,Description for Task 221 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-24,Done,Krithika,Ishan,Medium,Story,2025-03-30,2025-03-15,[],[],Sprint 6,Completed,2025-03-12,2025-03-25,3,TES-2,FTE,RTB,TES1-8783
TES-3-20,TES2,TASK 222 for TES2,Description for Task 222 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-20,Done,Rasheed,Pradeep,High,Task,2025-03-21,2025-01-30,['UI'],['API'],Sprint 3,Completed,2025-01-28,2025-02-10,5,TES-3,FTE,RTB,TES2-8785
DIS-6-11,EBSNF,TASK 223 for EBSNF,Description for Task 223 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-6-11,Done,Pavithra,Zoro,Low,Task,2025-04-07,2025-01-11,['UI'],[],Sprint 1,Completed,2025-01-01,2025-01-13,3,DIS-6,FTE,CTB,EBSNF1-8786
APS-1-22,APS1,TASK 224 for APS1,Description for Task 224 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-22,Done,Khaleel,Shreya,Critical,Defect,2025-04-03,2025-02-12,['UI'],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,5,APS-1,FTC,CTB,APS1-8786
DIS-2-8,CDF,TASK 225 for CDF,Description for Task 225 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-8,Done,Apoorva,Naruto,Low,Story,2025-03-22,2025-01-30,['UI'],['Auth Service'],Sprint 3,Completed,2025-01-28,2025-02-10,5,DIS-2,FTE,CTB,CDF1-8785
APS-1-23,APS1,TASK 226 for APS1,Description for Task 226 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-23,To Do,Nitish,Madhu,High,Defect,2025-04-07,,['bugfix'],['Auth Service'],Sprint 10,Future,2025-05-07,2025-05-20,5,APS-1,FTE,CTB,APS1-8786
TES-2-25,TES1,TASK 227 for TES1,Description for Task 227 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-2-25,Done,David,Shubman,Medium,Task,2025-04-08,2025-01-24,[],[],Sprint 2,Completed,2025-01-14,2025-01-27,2,TES-2,FTC,RTB,TES1-8784
DIS-4-7,CDF,TASK 228 for CDF,Description for Task 228 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-7,To Do,Rishika,Tony,Medium,Task,2025-04-05,,['frontend'],['Database'],Sprint 10,Future,2025-05-07,2025-05-20,1,DIS-4,FTE,CTB,CDF1-8784
TES-1-20,TES1,TASK 229 for TES1,Description for Task 229 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-20,Done,David,Shubman,Medium,Task,2025-03-17,2025-02-04,['UI'],[],Sprint 3,Completed,2025-01-28,2025-02-10,5,TES-1,FTC,CTB,TES1-8785
APS-4-24,APS2,TASK 230 for APS2,Description for Task 230 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-24,Done,Vikram,Ravi,High,Story,2025-04-03,2025-04-07,['UI'],[],Sprint 7,Completed,2025-03-26,2025-04-08,2,APS-4,FTC,CTB,APS2-8784
APS-2-25,APS1,TASK 231 for APS1,Description for Task 231 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-25,To Do,Nitish,Madhu,Medium,Defect,2025-04-08,,['frontend'],['Database'],Sprint 9,Future,2025-04-23,2025-05-06,1,APS-2,FTE,RTB,APS1-8783
TES-1-21,TES1,TASK 232 for TES1,Description for Task 232 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-21,Done,Krithika,Shubman,Critical,Defect,2025-04-01,2025-04-16,['frontend'],[],Sprint 8,Active,2025-04-09,2025-04-22,5,TES-1,FTE,CTB,TES1-8783
DIS-4-8,CDF,TASK 233 for CDF,Description for Task 233 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-8,Done,Hari,Tony,Low,Task,2025-03-23,2025-01-03,[],['Auth Service'],Sprint 1,Completed,2025-01-01,2025-01-13,3,DIS-4,FTE,CTB,CDF1-8786
APS-2-26,APS1,TASK 234 for APS1,Description for Task 234 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-26,To Do,Nitish,Shreya,Critical,Defect,2025-04-07,,['bugfix'],['UI'],Sprint 10,Future,2025-05-07,2025-05-20,1,APS-2,FTE,RTB,APS1-8786
DIS-5-10,EBSNF,TASK 235 for EBSNF,Description for Task 235 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-5-10,In Progress,Pavithra,Hinata,Medium,Story,2025-04-02,,['enhancement'],['API'],Sprint 8,Active,2025-04-09,2025-04-22,3,DIS-5,FTE,RTB,EBSNF1-8786
APS-1-24,APS1,TASK 236 for APS1,Description for Task 236 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-24,Done,Noor,Madhu,High,Story,2025-03-27,2025-02-17,['frontend'],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,1,APS-1,FTE,CTB,APS1-8786
DIS-5-11,EBSNF,TASK 237 for EBSNF,Description for Task 237 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-11,Done,David,Hinata,Low,Defect,2025-03-18,2025-03-01,['enhancement'],['UI'],Sprint 5,Completed,2025-02-25,2025-03-11,2,DIS-5,FTC,RTB,EBSNF1-8784
DIS-3-13,CDF,TASK 238 for CDF,Description for Task 238 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-3-13,To Do,Alice,Tony,Critical,Task,2025-03-29,,['bugfix'],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,5,DIS-3,FTC,RTB,CDF1-8785
APS-3-15,APS2,TASK 239 for APS2,Description for Task 239 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-15,In Progress,Vikram,Bhuvi,High,Story,2025-03-29,,['bugfix'],['Database'],Sprint 8,Active,2025-04-09,2025-04-22,3,APS-3,FTC,RTB,APS2-8785
TES-1-22,TES1,TASK 240 for TES1,Description for Task 240 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-22,Done,Krithika,Ishan,Medium,Task,2025-03-24,2025-02-18,['enhancement'],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,2,TES-1,FTE,CTB,TES1-8784
DIS-5-12,EBSNF,TASK 241 for EBSNF,Description for Task 241 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-12,Done,Peter,Zoro,Low,Defect,2025-04-04,2025-03-02,['enhancement'],['Auth Service'],Sprint 5,Completed,2025-02-25,2025-03-11,1,DIS-5,FTC,RTB,EBSNF1-8784
DIS-7-16,EBSNF,TASK 242 for EBSNF,Description for Task 242 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-7-16,Done,David,Zoro,High,Story,2025-03-23,2025-01-17,['UI'],['API'],Sprint 2,Completed,2025-01-14,2025-01-27,1,DIS-7,FTC,RTB,EBSNF1-8783
TES-2-26,TES1,TASK 243 for TES1,Description for Task 243 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-26,Done,Krithika,Ishan,Medium,Story,2025-03-18,2025-02-28,['backend'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,1,TES-2,FTE,RTB,TES1-8786
APS-2-27,APS1,TASK 244 for APS1,Description for Task 244 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-27,Done,Noor,Madhu,Low,Story,2025-04-08,2025-01-04,['frontend'],[],Sprint 1,Completed,2025-01-01,2025-01-13,2,APS-2,FTE,RTB,APS1-8783
TES-1-23,TES1,TASK 245 for TES1,Description for Task 245 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-23,To Do,David,Ishan,Medium,Defect,2025-04-11,,['UI'],['API'],Sprint 9,Future,2025-04-23,2025-05-06,5,TES-1,FTC,CTB,TES1-8783
TES-3-21,TES2,TASK 246 for TES2,Description for Task 246 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-21,To Do,Rasheed,Pradeep,Medium,Defect,2025-04-06,,['backend'],[],Sprint 10,Future,2025-05-07,2025-05-20,1,TES-3,FTE,RTB,TES2-8785
APS-1-25,APS1,TASK 247 for APS1,Description for Task 247 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-25,Done,Khaleel,Shreya,Medium,Story,2025-04-10,2025-01-15,['frontend'],[],Sprint 2,Completed,2025-01-14,2025-01-27,2,APS-1,FTC,CTB,APS1-8784
TES-4-13,TES2,TASK 248 for TES2,Description for Task 248 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-4-13,Done,Seetha,Smrithi,High,Task,2025-04-10,2025-03-31,['bugfix'],[],Sprint 7,Completed,2025-03-26,2025-04-08,3,TES-4,FTC,CTB,TES2-8786
TES-2-27,TES1,TASK 249 for TES1,Description for Task 249 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-27,To Do,Sai,Shubman,Low,Story,2025-03-19,,[],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,3,TES-2,FTE,RTB,TES1-8786
DIS-4-9,CDF,TASK 250 for CDF,Description for Task 250 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-9,Done,Hari,Naruto,Low,Task,2025-04-07,2025-03-14,['UI'],['Database'],Sprint 6,Completed,2025-03-12,2025-03-25,3,DIS-4,FTE,CTB,CDF1-8786
DIS-7-17,EBSNF,TASK 251 for EBSNF,Description for Task 251 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-7-17,Done,Pavithra,Hinata,Low,Story,2025-04-06,2025-01-08,['bugfix'],['API'],Sprint 1,Completed,2025-01-01,2025-01-13,5,DIS-7,FTE,RTB,EBSNF1-8783
APS-2-28,APS1,TASK 252 for APS1,Description for Task 252 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-2-28,Done,Khaleel,Madhu,Critical,Task,2025-04-03,2025-04-03,['enhancement'],['Database'],Sprint 7,Completed,2025-03-26,2025-04-08,5,APS-2,FTC,RTB,APS1-8783
TES-4-14,TES2,TASK 253 for TES2,Description for Task 253 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-14,Done,Rasheed,Smrithi,Medium,Story,2025-04-04,2025-02-19,['bugfix'],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,5,TES-4,FTE,CTB,TES2-8786
TES-3-22,TES2,TASK 254 for TES2,Description for Task 254 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-22,Done,Rachin,Pradeep,High,Task,2025-03-22,2025-04-16,[],['API'],Sprint 8,Active,2025-04-09,2025-04-22,1,TES-3,FTC,RTB,TES2-8785
TES-2-28,TES1,TASK 255 for TES1,Description for Task 255 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-28,Done,Sai,Ishan,Medium,Defect,2025-04-05,2025-02-20,[],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,3,TES-2,FTE,RTB,TES1-8784
APS-2-29,APS1,TASK 256 for APS1,Description for Task 256 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-2-29,Done,Noor,Madhu,High,Task,2025-04-01,2025-01-03,['backend'],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,5,APS-2,FTE,RTB,APS1-8783
DIS-5-13,EBSNF,TASK 257 for EBSNF,Description for Task 257 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-13,Done,Peter,Hinata,High,Defect,2025-04-10,2025-01-06,[],['Auth Service'],Sprint 1,Completed,2025-01-01,2025-01-13,2,DIS-5,FTC,RTB,EBSNF1-8784
DIS-5-14,EBSNF,TASK 258 for EBSNF,Description for Task 258 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-5-14,Done,Peter,Hinata,Low,Defect,2025-03-20,2025-02-02,['UI'],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,3,DIS-5,FTC,RTB,EBSNF1-8786
DIS-6-12,EBSNF,TASK 259 for EBSNF,Description for Task 259 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-6-12,Done,David,Zoro,Critical,Story,2025-03-27,2025-04-07,[],['Database'],Sprint 7,Completed,2025-03-26,2025-04-08,2,DIS-6,FTC,CTB,EBSNF1-8784
APS-2-30,APS1,TASK 260 for APS1,Description for Task 260 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-30,In Progress,Nitish,Shreya,Low,Defect,2025-03-28,,['frontend'],['Database'],Sprint 8,Active,2025-04-09,2025-04-22,2,APS-2,FTE,RTB,APS1-8785
APS-4-25,APS2,TASK 261 for APS2,Description for Task 261 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-25,Done,Vikram,Bhuvi,Critical,Story,2025-04-03,2025-04-16,['frontend'],['Auth Service'],Sprint 8,Active,2025-04-09,2025-04-22,2,APS-4,FTC,CTB,APS2-8785
APS-1-26,APS1,TASK 262 for APS1,Description for Task 262 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-26,Done,Nitish,Shreya,Critical,Story,2025-03-26,2025-02-17,['UI'],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,3,APS-1,FTE,CTB,APS1-8784
DIS-4-10,CDF,TASK 263 for CDF,Description for Task 263 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-10,Done,Apoorva,Naruto,Low,Task,2025-04-07,2025-01-09,['backend'],['UI'],Sprint 1,Completed,2025-01-01,2025-01-13,1,DIS-4,FTE,CTB,CDF1-8785
